route,suite,item_id,correct
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0001,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0002,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0003,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0004,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0005,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0006,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0007,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0008,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0009,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0010,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0011,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0012,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0013,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0014,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0015,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0016,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0017,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0018,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0019,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0020,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0021,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0022,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0023,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0024,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0025,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0026,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0027,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0028,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0029,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0030,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0031,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0032,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0033,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0034,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0035,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0036,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0037,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0038,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0039,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0040,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0041,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0042,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0043,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0044,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0045,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0046,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0047,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0048,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0049,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0050,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0051,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0052,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0053,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0054,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0055,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0056,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0057,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0058,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0059,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0060,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0061,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0062,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0063,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0064,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0065,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0066,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0067,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0068,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0069,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0070,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0071,true
openai-codex/gpt-5.6-terra,eval-math-v2,math2-0072,true
